name,kana,romaji
Nguyễn,Nguyễn,nguyen
Trần,Trần,tran
Lê,Lê,le
Phạm,Phạm,pham
Hoàng,Hoàng,hoang
Huỳnh,Huỳnh,huynh
Phan,Phan,phan
Vũ,Vũ,vu
Võ,Võ,vo
Đặng,Đặng,dang
Bùi,Bùi,bui
Đỗ,Đỗ,do
Hồ,Hồ,ho
Ngô,Ngô,ngo
Dương,Dương,duong
Lý,Lý,ly
Phí,Phí,phi
Đào,Đào,dao
Đoàn,Đoàn,doan
Vương,Vương,vuong
Trịnh,Trịnh,trinh
Trương,Trương,truong
Đinh,Đinh,dinh
Lâm,Lâm,lam
Phùng,Phùng,phung
Mai,Mai,mai
Tô,Tô,to
Hà,Hà,ha
Tạ,Tạ,ta
Thân,Thân,than
Trắc,Trắc,trac
Tống,Tống,tong
Hoa,Hoa,hoa
Khúc,Khúc,khuc
Từ,Từ,tu
Thường,Thường,thuong
Tiêu,Tiêu,tieu
